code,name,trading_value,open_price,high_price,low_price,close_price
710836,群聯台新67購02,0,,,,
710837,頎邦台新61購01,1288050,1.26,1.29,1.18,1.2
710838,頎邦台新61購02,2500340,1.14,1.25,1.03,1.03
710839,驊訊台新61購01,0,,,,
710840,驊訊台新61購02,0,,,,
710841,力致永豐61購01,0,,,,
710842,中美晶永豐65購02,0,,,,
710843,世紀*永豐61購01,22680,3.24,3.24,3.24,3.24
710844,神準永豐65購01,0,,,,
710845,翔名永豐61購01,0,,,,
710846,翔名永豐65購01,0,,,,
710847,榮剛永豐61購01,3550,0.59,0.6,0.59,0.6
710848,榮剛永豐61購02,0,,,,
710849,九暘國票65購01,0,,,,
710850,大中國票61購01,0,,,,
710851,中菲行國票65購01,0,,,,
710852,友威科國票65購01,93960,0.57,0.6,0.56,0.58
710853,全宇昕國票65購01,28360,0.41,0.45,0.41,0.45
710854,竹陞國票66購01,34340,0.58,0.59,0.56,0.56
710855,邑錡國票61購01,0,,,,
710856,邑錡國票63購01,0,,,,
710857,尚凡*國票65購01,0,,,,
710858,易發國票65購01,1046480,0.54,0.68,0.52,0.68
710859,昇佳電國票65購01,0,,,,
710860,佶優國票61購01,1560,0.39,0.39,0.39,0.39
710861,佶優國票63購01,0,,,,
710862,茂訊國票65購01,0,,,,
710863,原相國票61購01,0,,,,
710864,振曜國票65購01,290,0.29,0.29,0.29,0.29
710865,泰詠國票65購01,0,,,,
710866,健喬國票65購01,0,,,,
710867,國眾國票65購01,0,,,,
710868,博大國票65購01,0,,,,
710869,普萊德國票65購01,0,,,,
710870,晶宏國票65購01,173160,1.17,1.17,1.17,1.17
710871,越峰國票65購01,0,,,,
710872,萬泰科國票61購02,0,,,,
710873,碩禾國票65購01,1000,0.2,0.2,0.2,0.2
710874,聚和國票61購02,0,,,,
710875,鐿鈦國票65購01,0,,,,
710876,竹陞國泰63購01,84160,0.86,0.86,0.78,0.78
710877,青雲國泰62購03,49640,1.46,1.46,1.46,1.46
710878,茂達國泰62購01,0,,,,
