code,name,trading_value
3520,華盈,1413096
3521,台鋼建設,84066
3522,御嵿,5055009
3523,迎輝,375030
3526,凡甲,37776317
3527,聚積,1324891
3529,力旺,3563520205
3531,先益,21300
3537,堡達,6402621
3540,曜越,6203359
3541,西柏,1093609
3546,宇峻,6737000
3548,兆利,13137444
3551,世禾,26839412
3552,同致,3947233
3555,博士旺,8513513
3556,禾瑞亞,8984306
3558,神準,4066347
3564,其陽,13164377
3567,逸昌,383158
3570,大塚,8673377
3577,泓格,15909032
3580,友威科,11300527
3581,博磊,18052972
3587,閎康,57922999
3594,磐儀,11799663
3597,映興,1634848
3609,三一東林,11274472
3611,鼎翰,4513199
3615,安可,9631914
3623,富晶通,25838819
3624,光頡,5477943670
3625,西勝,1690015
3628,盈正,48171829
3629,地心引力,144521
3630,新鉅科,5785242
3631,晟楠,3797802
3632,研勤,16914
3646,艾恩特,1201869
3663,鑫科,15780309
3664,安瑞-KY,100912
3666,光耀,100072
3672,康聯訊,130522
3675,德微,526906767
3680,家登,614728360
3684,榮昌,8743750
3685,元創精密,15134531
3687,歐買尬,2687236
3689,湧德,57009715
3691,碩禾,26269740
3693,營邦,1266477300
3707,漢磊,208648957
3709,鑫聯大投控,11962968
3713,新晶投控,511249
3718,中光電投控,341954261
4102,永日,435011
4105,東洋,18806705
4107,邦特,4771519
4109,加捷生醫,1763327
4111,濟生,2560462
4113,聯上,704213
4114,健喬,11646634
4116,明基醫,479518
4120,友華,49707
4121,優盛,178821
4123,晟德,27137227
4126,太醫,891901
4127,天良,5817094
4128,中天,8144493
4129,聯合,9330089
4131,浩泰,430177
4138,曜亞,1086902
4139,馬光-KY,7678989
4147,中裕,29412279
4153,鈺緯,42806
4154,樂威科-KY,84210
4157,太景*-KY,3691100
4160,訊聯基因,658244
4161,聿新科,245100
4162,智擎,10805975
4163,鐿鈦,2026525
4166,友霖,1138621
4167,松瑞藥,8682263
4168,醣聯,822525
4171,瑞基,884527
4173,久裕,1104126
4174,浩鼎,9481775
4175,杏一,284207
4183,福永生技,40200
4188,安克,1956808
4192,杏國,209589
4198,欣大健康,198689
4205,中華食,2175871
4207,環泰,2362825
4303,信立,14144429
4304,勝昱,105045
4305,世坤,461464
4401,東隆興,226610
4402,郡都開發,50353
4406,新昕纖,98030
4413,飛寶企業,0
4416,三圓,16809505
4417,金洲,5108362
4419,皇家美食,542526
4420,光明,2679236
4430,耀億,113287
4432,銘旺實,154574
4433,興采,2154673
4442,竣邦-KY,4156677
4502,健信,1359650
4503,金雨,1939367
4506,崇友,10139687
4510,高鋒,28802173
4513,福裕,3125110
4523,永彰,1100301
4527,方土霖,1033046
4528,江興鍛,356485
4529,淳紳,94310
4530,天意能創,26811
4533,協易機,7577387
4534,慶騰,6532102
4535,至興,382981
4538,大詠城,224650
4541,晟田,35613212
4542,科嶠,63647218
4543,萬在,1440378
4549,桓達,4006598
4550,長佳,411516
4554,橙的,231819
4556,旭然,242076860
4558,寶緯,309150
4561,健椿,3949856
4563,百德,5984229
4568,科際精密,161946
4577,達航科技,21911696
4580,捷流閥業,4294290
4584,君帆,146873
4609,唐鋒,4256
4702,中美實,337909
4706,大恭,1333837
4707,磐亞,40484372
4711,永純,739344
4714,永捷,24139465
4716,大立,8528035
4721,美琪瑪,9655053
4726,永昕,4144388
4728,雙美,409419
4729,熒茂,942585
4735,豪展,796207
4741,泓瀚,3464997
4743,合一,36203260
4744,皇將,1322333
4745,合富-KY,93015
4747,強生*,828645
4749,新應材,315325924
4754,國碳科,326081
4760,勤凱,80028737
4767,誠泰科技,443020
4768,晶呈科技,97773534
4772,台特化,109711017
4806,桂田文創,288953
4903,聯光通,81591296
4905,台聯電,2666916
4907,富宇,3523228
4908,前鼎,936364827
4909,新復興,9048495
4911,德英,254832
4923,力士,12054560
4924,欣厚-KY,19282468
4931,新盛力,581085171
4933,友輝,2463245
4939,亞電,794285426
4946,辣椒,793545
4950,金耘國際,140518
4951,精拓科,21214283
4953,緯致,55792135
4966,譜瑞-KY,144479606
4971,IET-KY,772444975
4972,湯石照明,433456
4973,廣穎,77470124
4974,亞泰,4432234
4979,華星光,542302428
4991,環宇-KY,1540768239
4995,晶達,4007337
5009,榮剛,60747389
5011,久陽,1511283
5013,強新,740705
5014,建錩,1919991
5015,華祺,187074
5016,松和,243850
5201,凱衛,1988267
5202,力新,13159137
5205,中茂,78919
5206,坤悅,2307451
5209,新鼎,67034711
5210,寶碩,7793497
5211,蒙恬,549430
5212,凌網,844139
5213,亞昕,4578395
5220,萬達光電,267773
5223,安力-KY,318273
5227,立凱-KY,4620150
5228,鈺鎧,5191526
5230,雷笛克光學,2662894
5245,智晶,237750
5251,天鉞電,11431908
5263,智崴,21940086
5272,笙科,643168
5274,信驊,3944877730
5276,達輝-KY,0
5278,尚凡*,818473
5287,數字,4338519
5289,宜鼎,1213283735
5291,邑昇,25614947
5299,杰力,13526180
5301,寶得利,153130
5302,太欣,2087376
5309,系統電,44231072
5310,天剛,263128
5312,寶島科,1285471
5314,世紀*,572125564
5315,光聯,2821036
5321,美而快,55564860
5324,士開,3114893
5328,華容,181918152
5340,建榮,485828873
5344,立衛,277918
5345,馥鴻,481098
5347,世界,1061979925
5348,正能量智能,49478
5351,鈺創,672794836
5353,台林,1754055
5355,佳總,470160
5356,協益,248105
5364,力麗店,307169
5381,光譜,4998050
5386,青雲,862839275
5392,能率,25249364
5398,慕康生醫,1002503
5403,中菲,5114314
5410,國眾,15860046
5425,台半,1195522781
5426,振發,9494066
5432,新門,3362271
5438,東友,755377
5439,高技,266894714
5443,均豪,98539559
5450,南良,923196
5452,佶優,5293620
5455,昇益,59600
5457,宣德,17740362
5460,同協,12084852
5464,霖宏,86146895
5465,富驊,1160250
5468,凱鈺,5881519
5474,聰泰,19629756
5475,德宏,821160865
5478,智冠,4493084
5481,新華,2156891
5483,中美晶,1238094748
5487,通泰,240989
5488,松普,1896100
5489,彩富,1732189
5490,同亨,6218615
5493,三聯,3035881
5498,凱崴,36493799
5508,永信建,14333715
5511,德昌,3546699
5512,力麒,3419461
5514,三豐,109475
5516,雙喜,503106
5520,力泰,336065
5523,豐謙,817650
5529,鉅陞,2586621
5530,龍巖,5496176
5536,聖暉*,206343865
5543,桓鼎-KY,280156
5547,久舜,221152
5548,安倉,254123
5601,台聯櫃,306553
5603,陸海,1623806
5604,中連,418969
5609,中菲行,10730979
5701,劍湖山,92773
5703,亞都,8167
