code,name,roc_year,quarter,gross_margin_pct
5904,寶雅*,115,2,45.04
5905,南仁湖,115,2,27.0
6028,公勝保經,115,2,14.63
6101,寬魚國際,115,2,15.42
6103,合邦,115,2,9.43
6104,創惟,115,2,45.01
6109,亞元,115,2,21.71
6111,光聚晶電,115,2,27.56
6113,亞矽,115,2,13.69
6114,久威,115,2,14.45
6118,建達,115,2,4.92
6121,新普,115,2,18.13
6122,擎邦,115,2,14.29
6123,上奇,115,2,13.67
6124,業強,115,2,14.79
6125,廣運,115,2,22.57
6126,信音,115,2,19.15
6127,九豪,115,2,5.05
6129,普誠,115,2,33.96
6130,上亞科技,115,2,38.9
6134,萬旭,115,2,21.64
6138,茂達,115,2,38.68
6140,訊達電腦,115,2,9.08
6143,振曜,115,2,21.14
6144,得利影,115,2,40.37
6146,耕興,115,2,46.61
6147,頎邦,115,2,27.12
6148,驊宏資,115,2,25.72
6150,撼訊,115,2,14.86
6151,晉倫,115,2,26.71
6154,順發,115,2,19.38
6156,松上,115,2,14.4
6158,禾昌,115,2,15.46
6160,欣技,115,2,35.9
6161,捷波,115,2,35.41
6163,華電網,115,2,17.48
6167,久正,115,2,5.23
6169,昱泉,115,2,-641.53
6170,統振,115,2,32.39
6171,大城地產,115,2,50.79
6173,信昌電,115,2,28.63
6174,安碁,115,2,36.31
6175,立敦,115,2,21.69
6179,亞通,115,2,12.62
6180,橘子,115,2,26.74
6182,合晶,115,2,20.92
6185,幃翔,115,2,13.39
6186,新潤,115,2,22.88
6187,萬潤,115,2,53.65
6188,廣明,115,2,26.19
6190,萬泰科,115,2,15.25
6194,育富,115,2,7.8
6195,詩肯,115,2,57.37
6198,瑞築,115,2,71.19
6199,天品,115,2,44.35
6203,海韻電,115,2,30.24
6204,艾華,115,2,33.69
6207,雷科,115,2,30.9
6208,日揚,115,2,30.25
6210,慶生,115,2,1.64
6212,理銘,115,2,38.79
6217,中探針,115,2,21.37
6218,豪勉,115,2,22.97
6219,富旺,115,2,23.42
6220,岳豐,115,2,25.94
6221,晉泰,115,2,26.7
6222,立軒,115,2,23.83
6223,旺矽,115,2,58.83
6227,茂綸,115,2,9.69
6228,全譜,115,2,36.63
6229,研通,115,2,9.44
6231,系微,115,2,77.19
6233,旺玖,115,2,44.89
6234,高僑,115,2,8.03
6236,中湛,115,2,83.18
6237,驊訊,115,2,40.16
6240,松崗,115,2,52.78
6241,鑫永洋,115,2,16.62
6242,立康,115,2,66.98
6244,茂迪,115,2,19.64
6245,立端,115,2,30.34
6246,臺龍,115,2,9.23
6248,沛波,115,2,6.62
6259,百徽,115,2,22.32
6261,久元,115,2,30.2
6263,普萊德,115,2,48.07
6264,富裔,115,2,45.09
6265,方土昶,115,2,36.38
6266,泰詠,115,2,16.95
6270,倍微,115,2,8.94
6274,台燿,115,2,27.83
6275,元山,115,2,17.9
6276,安鈦克,115,2,13.8
6279,胡連,115,2,27.37
6284,佳邦,115,2,18.73
6290,良維,115,2,30.7
6291,沛亨,115,2,38.56
6292,迅德,115,2,38.79
6294,智基,115,2,40.24
6411,晶焱,115,2,33.6
6417,韋僑,115,2,34.65
6418,詠昇,115,2,19.86
6419,京晨科,115,2,22.82
6423,億而得,115,2,98.93
6425,易發,115,2,31.6
6432,今展科,115,2,21.98
6435,大中,115,2,27.36
6441,廣錠,115,2,-117.25
6461,益得,115,2,-246.19
6462,神盾,115,2,24.58
6465,威潤,115,2,80.01
6469,大樹,115,2,28.17
6470,宇智,115,2,16.73
6474,華豫寧,115,2,21.36
6482,弘煜科,115,2,98.68
6485,點序,115,2,55.95
6486,互動,115,2,27.85
6488,環球晶,115,2,20.73
6492,生華科,115,2,56.25
6494,九齊,115,2,28.95
6496,科懋,115,2,38.05
6498,久禾光,115,2,44.81
6499,益安,115,2,13.25
6506,雙邦,115,2,20.39
6508,惠光,115,2,25.36
6509,聚和,115,2,35.66
6510,精測,115,2,57.18
6512,啟發電,115,2,23.94
6516,勤崴國際,115,2,48.79
6517,保勝光學,115,2,36.08
6523,達爾膚,115,2,65.42
6527,明達醫,115,2,40.13
6530,創威,115,2,47.27
6532,瑞耘,115,2,39.38
6535,順藥,115,2,35.75
6538,倉和,115,2,39.97
6542,隆中,115,2,79.84
6546,正基,115,2,27.71
6547,高端疫苗,115,2,78.28
6548,長科*,115,2,22.26
6556,勝品,115,2,33.8
6560,欣普羅,115,2,35.13
6561,是方,115,2,48.55
6568,宏觀,115,2,37.5
6569,醫揚,115,2,32.28
6570,維田,115,2,38.0
6574,霈方,115,2,55.5
6576,逸達,115,2,68.3
6577,勁豐,115,2,34.16
6578,達邦蛋白,115,2,24.27
6584,南俊國際,115,2,41.68
6588,東典光電,115,2,29.94
6590,普鴻,115,2,41.8
6593,台灣銘板,115,2,23.82
6596,寬宏藝術,115,2,33.52
6597,立誠,115,2,16.66
6603,富強鑫,115,2,25.0
6609,瀧澤科,115,2,17.65
6612,奈米醫材,115,2,53.82
6613,朋億*,115,2,27.07
6615,慧智,115,2,27.89
6616,特昇-KY,115,2,8.05
6617,共信-KY,115,2,55.64
6620,漢達,115,2,80.54
6624,萬年清,115,2,17.18
6629,泰金-KY,115,2,22.97
6637,醫影,115,2,27.3
6640,均華,115,2,43.14
6642,富致,115,2,51.5
6643,M31,115,2,100.0
6649,台生材,115,2,53.68
6651,全宇昕,115,2,37.1
6654,天正國際,115,2,19.3
6661,威健生技,115,2,41.75
6662,樂斯科,115,2,36.69
6664,群翊,115,2,48.77
6667,信紘科,115,2,23.25
6679,鈺太,115,2,51.35
6680,鑫創電子,115,2,34.32
6683,雍智科技,115,2,49.81
6684,安格,115,2,58.77
6690,安碁資訊,115,2,38.96
6692,進能服,115,2,-8.66
6693,廣閎科,115,2,30.74
6697,東捷資訊,115,2,16.29
6703,軒郁,115,2,62.47
6708,天擎,115,2,53.19
6712,長聖,115,2,78.28
6716,應廣,115,2,39.9
6720,久昌,115,2,43.24
6721,信實,115,2,6.1
6725,矽科宏晟,115,2,22.88
6727,亞泰金屬,115,2,26.47
6728,上洋,115,2,37.03
6730,常廣,115,2,45.17
6732,昇佳電子,115,2,21.6
6733,博晟生醫,115,2,71.24
6735,美達科技,115,2,50.52
6739,竹陞科技,115,2,67.51
6741,91APP*-KY,115,2,73.69
6751,智聯服務,115,2,13.83
6752,叡揚,115,2,46.9
6761,穩得,115,2,38.17
6762,達亞,115,2,22.17
6763,綠界科技*,115,2,41.55
6767,台微醫,115,2,77.46
6785,昱展新藥,115,2,90.33
6788,華景電,115,2,60.19
6791,虎門科技,115,2,40.54
6803,崑鼎,115,2,19.27
6804,明係,115,2,10.88
6811,宏碁資訊,115,2,12.41
6821,聯寶,115,2,36.35
6823,濾能,115,2,-14.12
6829,千附精密,115,2,26.94
6840,東研信超,115,2,40.02
6841,長佳智能,115,2,73.11
6843,進典,115,2,38.88
6844,諾貝兒,115,2,34.15
6846,綠茵,115,2,47.39
6855,數泓科,115,2,48.78
6856,鑫傳,115,2,68.86
6859,伯特光,115,2,22.63
6865,偉康科技,115,2,44.4
6870,騰雲,115,2,70.52
6872,浩宇生醫,115,2,48.73
6874,倍力,115,2,11.99
6875,國邑*,115,2,18.42
6877,鏵友益,115,2,48.87
6881,潤德,115,2,21.13
6884,海柏特,115,2,18.17
6894,衛司特,115,2,36.49
6895,宏碩系統,115,2,-9.6
6899,創為精密,115,2,39.57
6903,巨漢,115,2,32.18
6904,伯鑫,115,2,28.04
6907,雅特力-KY,115,2,38.01
6910,德鴻,115,2,54.74
6913,鴻呈,115,2,29.96
6922,宸曜,115,2,40.05
6925,意藍,115,2,76.21
6929,佑全,115,2,33.03
6945,圓祥生技,115,2,0.0
6953,家碩,115,2,50.01
6961,旅天下,115,2,14.03
6967,汎瑋材料,115,2,27.81
6968,萬達寵物,115,2,41.23
6971,惠民實業,115,2,9.77
6982,大井泵浦,115,2,23.77
6983,華洋精機,115,2,60.39
6986,和迅,115,2,92.96
6996,力領科技,115,2,42.01
6997,博弘,115,2,8.66
7402,邑錡,115,2,32.1
7547,碩網,115,2,56.25
7556,意德士科技,115,2,40.71
