code,name,roc_year,quarter,gross_margin_pct
3047,訊舟,115,2,25.22
3048,益登,115,2,4.19
3049,精金,115,2,44.64
3050,鈺德,115,2,31.83
3051,力特,115,2,34.52
3052,夆典,115,2,9.58
3054,立萬利,115,2,53.9
3055,蔚華科,115,2,31.77
3056,富華新,115,2,16.1
3057,喬鼎,115,2,44.17
3058,立德,115,2,13.41
3059,華晶科,115,2,25.35
3060,銘異,115,2,15.3
3062,建漢,115,2,2.58
3090,日電貿,115,2,18.91
3092,鴻碩,115,2,10.1
3094,聯傑,115,2,74.64
3130,一零四,115,2,87.25
3135,凌航,115,2,22.36
3138,耀登,115,2,43.4
3149,正達,115,2,-3.7
3150,鈺寶-創,115,2,44.8
3164,景岳,115,2,56.8
3167,大量,115,2,43.45
3168,眾福科,115,2,22.96
3189,景碩,115,2,23.77
3209,全科,115,2,5.12
3229,晟鈦,115,2,13.18
3231,緯創,115,2,5.44
3257,虹冠電,115,2,42.64
3266,昇陽,115,2,17.13
3296,勝德,115,2,16.57
3305,昇貿,115,2,18.55
3308,聯德,115,2,62.74
3311,閎暉,115,2,11.02
3312,弘憶股,115,2,5.24
3321,同泰,115,2,8.49
3338,泰碩,115,2,17.86
3346,麗清,115,2,9.48
3356,奇偶,115,2,48.71
3376,新日興,115,2,11.91
3380,明泰,115,2,18.05
3406,玉晶光,115,2,33.37
3413,京鼎,115,2,23.01
3416,融程電,115,2,38.55
3419,譁裕,115,2,12.41
3432,台端,115,2,16.28
3437,榮創,115,2,1.23
3443,創意,115,2,24.1
3447,展達,115,2,9.3
3450,聯鈞,115,2,29.25
3481,群創,115,2,14.5
3494,誠研,115,2,13.82
3501,維熹,115,2,17.46
3504,揚明光,115,2,17.3
3515,華擎,115,2,17.11
3518,柏騰,115,2,-22.83
3528,安馳,115,2,12.5
3530,晶相光,115,2,22.28
3532,台勝科,115,2,4.0
3533,嘉澤,115,2,47.48
3535,晶彩科,115,2,45.31
3543,州巧,115,2,10.55
3545,敦泰,115,2,22.62
3550,聯穎,115,2,17.75
3557,嘉威,115,2,35.52
3563,牧德,115,2,60.49
3576,聯合再生,115,2,-22.63
3583,辛耘,115,2,36.9
3588,通嘉,115,2,35.19
3591,艾笛森,115,2,21.37
3592,瑞鼎,115,2,26.99
3593,力銘,115,2,-8.12
3596,智易,115,2,15.17
3605,宏致,115,2,25.16
3607,谷崧,115,2,13.79
3617,碩天,115,2,58.67
3622,洋華,115,2,37.61
3645,達邁,115,2,37.77
3652,精聯,115,2,34.58
3653,健策,115,2,44.69
3661,世芯-KY,115,2,40.27
3665,貿聯-KY,115,2,29.8
3669,圓展,115,2,60.98
3673,TPK-KY,115,2,7.72
3679,新至陞,115,2,29.88
3686,達能,115,2,0.26
3694,海華,115,2,14.36
3701,大眾控,115,2,11.98
3702,大聯大,115,2,4.45
3703,欣陸,115,2,14.37
3704,合勤控,115,2,23.83
3705,永信,115,2,44.43
3706,神達,115,2,9.17
3708,上緯投控,115,2,19.41
3711,日月光投控,115,2,20.55
